phage,host
MK359304,NZ_LN831039.1
MK359305,NZ_LN831039.1
MK359306,NZ_LN831039.1
MK359307,NZ_LN831039.1
MK359308,NZ_LN831039.1
MK359309,NZ_LN831039.1
NC_007501,NC_013198.1
MG812486,NZ_LN831039.1
KY965064,NZ_LN831039.1
KY965065,NZ_LN831039.1
NC_004313,CP030026
NC_022753,NZ_LN831039.1
MG812489,NZ_LN831039.1
KY965063,NZ_LN831039.1
NC_001835,NZ_PKRZ01000001.1
NC_019530,AP014565
NC_022754,CP018657
KX458237,NZ_LN831039.1
KX458236,NZ_LN831039.1
NC_016568,NC_017379.1
NC_016565,NZ_CP023560
NC_016564,NZ_CM002803
NC_016567,NZ_LK391965
NC_016566,NZ_NQCD01000010.1
NC_016562,LR134359
MG944223,NZ_LN831039.1
MG944222,CP019892
MG944221,NZ_LN831039.1
MG944220,NZ_LN831039.1
MG944226,CP019892
MG944225,NZ_LN831039.1
MG944224,NZ_LN831039.1
NC_011085,NZ_FRBZ01000017.1
NC_015720,NZ_CABEIC010000001.1
JQ300538,NZ_LN831039.1
NC_023741,NZ_LN831039.1
NC_023740,NZ_LN831039.1
NC_023742,NZ_LN831039.1
NC_023745,NZ_LN831039.1
NC_023747,NZ_LN831039.1
NC_023746,NZ_LN831039.1
NC_023748,NZ_LN831039.1
NC_001900,NZ_LN831039.1
KX781992,NZ_LN831039.1
NC_001909,NZ_PKRZ01000001.1
KM101117,NZ_LN831039.1
NC_029059,NZ_LN831039.1
NC_007019,NZ_CP035306.1
MG770213,NZ_LN831039.1
MG770211,NZ_CABEIC010000001.1
NC_029050,NZ_CCKZ01000001
MG770216,NZ_LN831039.1
MG770215,NZ_CABEIC010000001.1
MG770214,NZ_CABEIC010000001.1
NC_025422,CP023315
NC_011398,NZ_CP019870.1
NC_023686,NZ_LN831039.1
NC_023565,NZ_LN831039.1
NC_023564,NZ_LN831039.1
NC_023687,NZ_LN831039.1
MH183162,CP019892
NC_023563,NZ_LN831039.1
JX307705,NZ_LN831039.1
JX307704,NZ_LN831039.1
NC_023568,NZ_CP009467.1
JX307703,NZ_LN831039.1
JX307702,NZ_LN831039.1
MK112534,NZ_LN831039.1
MH727549,NZ_LN831039.1
MK112536,NZ_LN831039.1
JN116825,NZ_CP027793.1
MK112530,NZ_LN831039.1
JN116823,NZ_CP027793.1
NC_031085,NZ_NQCD01000010.1
NC_031087,NZ_UWXU01000001
MH727543,NZ_LN831039.1
MK112538,LC361338
MH727545,NZ_LN831039.1
MH727546,NZ_LN831039.1
MH727547,NZ_CABEIC010000001.1
MK279866,NZ_LN831039.1
JF957058,NZ_LN831039.1
MH976519,NZ_CABEIC010000001.1
MH976518,NZ_CABEIC010000001.1
HM152765,NZ_LN831039.1
HM152766,NZ_LN831039.1
MK279869,LC361338
MH976513,NZ_CABEIC010000001.1
MH976512,NZ_CABEIC010000001.1
MH976511,NZ_CABEIC010000001.1
MH976510,NZ_CABEIC010000001.1
MH976517,NZ_LN831039.1
MH976515,NZ_CABEIC010000001.1
MH976514,NZ_CABEIC010000001.1
KX589269,NZ_LN831039.1
NC_022762,NZ_AP019750.1
NC_022764,NZ_NUFU01000011.1
NC_022765,NZ_CP011007.1
NC_022766,NZ_CP011007.1
NC_010353,NZ_CP035306.1
NC_022768,AP014565
MK279859,NZ_LN831039.1
MK279858,NZ_LN831039.1
MK279851,LC361338
JF957060,NZ_LN831039.1
MK279853,NZ_CP022580.1
MK279852,NZ_LN831039.1
MK279854,LC361338
MK279857,NZ_LN831039.1
MK279856,LC361338
MH825709,NZ_LN831039.1
NC_011534,NZ_BCTM01000001
NC_029071,AP014565
KT783672,LC361338
NC_028988,NZ_CP009764.1
NC_028986,NZ_LN831039.1
NC_028805,NZ_CP025545.1
NC_013195,NZ_CP023560
NC_024121,NZ_CP050013.1
NC_010363,NZ_PKRZ01000001.1
NC_004678,NZ_CP023560
NC_004679,NZ_CP023560
NC_013694,NZ_LN831039.1
NC_020483,NZ_JNIU01000001
NC_020482,NZ_JNIU01000001
NC_020481,NZ_JNIU01000001
NC_020480,NZ_CP011007.1
NC_019726,NZ_CP023560
MG298964,NZ_DF968533
KX752698,NZ_LN831039.1
MG757166,NZ_CABEIC010000001.1
MG757167,NZ_LN831039.1
NC_027991,NZ_CP023560
MG757164,NZ_LN831039.1
MG757165,NZ_LN831039.1
NC_013697,NC_010002.1
MG757162,NZ_LN831039.1
NC_005857,NZ_JH603143.1
NC_028800,NZ_UWXU01000001
NC_022053,NZ_LN831039.1
MG925354,NZ_LN831039.1
KT363731,NZ_LN831039.1
MG925355,NZ_LN831039.1
MF185728,NZ_LN831039.1
MF185729,NZ_LN831039.1
KX620751,NZ_CP010341.1
MF185725,LC361338
MF185726,NZ_LN831039.1
KX620752,NZ_CP010341.1
MF185721,LC361338
MF185722,NZ_LN831039.1
MF185723,LC361338
MH697575,NZ_LN831039.1
NC_001697,NZ_CP009610.1
MH697577,NZ_LN831039.1
MH697576,NZ_LN831039.1
KT990218,NC_012490.1
MH697579,NZ_LN831039.1
MH697578,NZ_LN831039.1
NC_021061,NZ_LN831039.1
KT364588,NZ_LN831039.1
NC_022058,NZ_LN831039.1
MH047631,CP019892
MF668283,NZ_LN831039.1
MF668282,NZ_CABEIC010000001.1
MF668281,NZ_LN831039.1
MF668280,NZ_LN831039.1
MF668287,NZ_LN831039.1
MF668286,NC_012490.1
MF668285,LC361338
MF668284,NZ_LN831039.1
MH697593,NZ_LN831039.1
MH697592,NZ_LN831039.1
MH697591,NZ_LN831039.1
MH697590,NZ_LN831039.1
JN049605,NZ_LN831039.1
KY083062,NZ_LN831039.1
MH000607,NZ_LN831039.1
MH000606,NZ_LN831039.1
KX557284,NZ_CABEIC010000001.1
KX557285,NZ_CABEIC010000001.1
MK359313,NZ_CABEIC010000001.1
MK359312,NZ_LN831039.1
MK359311,NZ_LN831039.1
MK359310,NZ_LN831039.1
MK359317,NZ_LN831039.1
MK359316,NZ_LN831039.1
MK359315,NZ_LN831039.1
MK359314,NZ_LN831039.1
MK359319,NZ_CABEIC010000001.1
MK359318,NZ_LN831039.1
GQ303259,NZ_LN831039.1
KJ829260,NZ_LN831039.1
NC_004302,NZ_PKRZ01000001.1
NC_004303,NZ_CP035306.1
NC_004305,NZ_FLYG01000003
NC_001825,NZ_FEBQ01000001.1
MH230878,NZ_LN831039.1
NC_029072,NZ_CCKZ01000001
KX688047,NZ_LN831039.1
MH910041,QLNP01000098
MH910040,NZ_LN831039.1
MH590587,NZ_LN831039.1
NC_016571,NZ_CP048408.1
MH153800,NZ_QTTZ01000001
KT591489,NZ_LN831039.1
MH153802,CP019892
MH153803,CP019892
MH153804,NC_012490.1
MH153805,CP019892
MH153806,CP019892
MH153807,NC_012490.1
MH153808,NZ_FNLM01000034
MH153809,NZ_CABEIC010000001.1
MG944218,CP019892
MG944219,CP019892
KM652553,NZ_LN831039.1
NC_002515,NC_002771.1
MH045554,CP019892
KM923971,NZ_LN831039.1
MH727561,NZ_LN831039.1
NC_020880,NZ_QMJJ01000010.1
NC_025439,NZ_MSEI01000003
NC_025438,NZ_LN831039.1
NC_025433,NZ_LN831039.1
NC_007021,NZ_CP023560
MH651166,NZ_CABEIC010000001.1
MH651167,NZ_CABEIC010000001.1
KX670828,NZ_LN831039.1
MH651168,NZ_CABEIC010000001.1
MH651169,NZ_LN831039.1
NC_028838,NZ_CP019870.1
NC_029048,NZ_CP019870.1
NC_029044,NZ_LN831039.1
NC_002486,NZ_CP023560
NC_031226,NZ_CABEIC010000001.1
NC_029042,CP029897
NC_029043,NZ_LN831039.1
MF919530,NZ_LN831039.1
MF919531,NZ_LN831039.1
MF919532,NZ_LN831039.1
MF919534,NZ_LN831039.1
MF919535,NZ_LN831039.1
MF919536,NZ_LN831039.1
MF919537,NZ_CABEIC010000001.1
MF919538,NZ_LN831039.1
MF919539,NZ_LN831039.1
NC_023577,NZ_LN831039.1
NC_023574,NZ_PKRZ01000001.1
NC_023572,NZ_LN831039.1
NC_023573,NZ_CP023560
NC_023571,NZ_CP014324.1
JQ911768,NZ_LN831039.1
NC_023578,NZ_LN831039.1
NC_023579,NC_013961.1
MK112527,NZ_LN831039.1
MK112526,LC361338
MH727559,NZ_LN831039.1
MH727558,NZ_LN831039.1
NC_002661,NZ_CP023560
NC_031099,NZ_CABEIC010000001.1
MH727553,NZ_LN831039.1
MH727552,NZ_CABEIC010000001.1
MH727551,NZ_LN831039.1
MH727550,CP032788
MH727557,NZ_LN831039.1
MH727556,CP019892
MK112529,LC361338
MK112528,LC361338
MH045567,CP019892
MH045566,CP019892
MH045565,CP019892
MH045564,CP019892
NC_022979,NZ_LN831039.1
MH045562,CP019892
MH045561,CP019892
MH045560,CP019892
NC_022975,NZ_LN831039.1
NC_022977,NZ_LN831039.1
NC_022976,NZ_LN831039.1
MH045569,NZ_LN831039.1
MH045568,CP019892
KX721255,NZ_LN831039.1
KX721256,NZ_LN831039.1
NC_024392,CP027029
NC_003524,NC_008261.1
NC_021297,NZ_LN831039.1
NC_021299,NZ_LN831039.1
NC_021298,NZ_CM001889
NC_030943,NZ_CABEIC010000001.1
NC_030942,NZ_CABEIC010000001.1
NC_030941,NZ_CABEIC010000001.1
NC_030945,NZ_ALPT02000001
NC_030944,NZ_CABEIC010000001.1
KU055616,NZ_LN831039.1
NC_013638,NZ_CP048408.1
NC_027293,NZ_CP024819.1
NC_027297,AP014565
NC_027299,NVUC01000001
MH576948,LC361338
MF324899,NZ_LN831039.1
MH316569,NC_012490.1
MH020236,NZ_LN831039.1
MH020237,NZ_LN831039.1
MH020235,NZ_LN831039.1
MH020238,NZ_LN831039.1
MH020239,NZ_LN831039.1
NC_028889,NZ_LN831039.1
NC_028888,NC_022112.1
KY319168,NZ_LN831039.1
MH651187,NZ_LN831039.1
MG518519,NZ_CM001889
NC_028959,NZ_CP019870.1
NC_028958,NZ_CP019870.1
MF766048,NZ_OCQN01000001
MF766044,NZ_OCQN01000001
MF766045,NZ_OCQN01000001
MF766046,NZ_OCQN01000001
MK310146,NZ_LN831039.1
NC_005841,AP014565
NC_029077,NZ_LN831039.1
NC_003216,CP027029
MF185733,NZ_LN831039.1
MF185732,NZ_LN831039.1
MF185731,LC361338
MF185730,NZ_LN831039.1
NC_026016,NZ_CP023560
NC_026017,NZ_CCKZ01000001
NC_019449,NZ_AP019750.1
NC_019448,NZ_CP023560
MH399778,NZ_LN831039.1
MH399779,NZ_LT629770
MH399776,NZ_LN831039.1
MH399777,NZ_LN831039.1
MH399774,NZ_LN831039.1
MH399775,NZ_LN831039.1
NC_019447,NC_003317.1
NC_019914,NZ_CP033732.1
MH399770,NZ_LN831039.1
MH399771,NZ_LN831039.1
KU160650,LC361338
KU160651,LC361338
KU160652,LC361338
KU160653,LC361338
KU160654,LC361338
KU160655,LC361338
KU160656,LC361338
KU160657,LC361338
KU160658,LC361338
KU160659,LC361338
KY083058,NZ_LN831039.1
KY083059,NZ_LN831039.1
NC_005135,NZ_CP021654.1
NC_003324,NZ_RPMX01000001.1
JF704098,NZ_LN831039.1
JF704099,NZ_LN831039.1
JF704096,NZ_LN831039.1
JF704097,NZ_LN831039.1
JF704094,NZ_LN831039.1
JF704093,NZ_LN831039.1
JF704091,NZ_LN831039.1
MK359326,NZ_LN831039.1
MK359327,NZ_LN831039.1
MK359324,NZ_LN831039.1
MK359322,NZ_LN831039.1
MK359323,NZ_LN831039.1
MK359320,NZ_LN831039.1
MK359321,NZ_LN831039.1
NC_019408,CP023315
MK359328,NZ_LN831039.1
MK359329,NZ_LN831039.1
MG099950,LC361338
MG099951,NZ_LN831039.1
MG099952,NZ_LN831039.1
MG099953,NZ_LN831039.1
MK524508,NZ_LN831039.1
MK524509,NZ_LN831039.1
NC_011267,NZ_LN831039.1
MH910039,NZ_LN831039.1
MK112545,NZ_LN831039.1
MH590598,NZ_LN831039.1
MK524500,NZ_LN831039.1
MH590596,NZ_LN831039.1
MK524502,CP019892
MH910037,QLNP01000098
MK524504,NZ_LN831039.1
MK524505,NZ_CABEIC010000001.1
MH590591,NZ_LN831039.1
MK524507,NZ_LN831039.1
MH153813,CP019892
MH153812,NC_012490.1
MH153811,CP019892
MH153810,NZ_CABEIC010000001.1
MH077579,NZ_LN831039.1
MH077578,NZ_LN831039.1
MH077577,NZ_LN831039.1
MH077576,NZ_LN831039.1
NC_025429,NZ_JH719383.1
MF373842,NC_012490.1
MF373843,NZ_LN831039.1
MF373840,NZ_LN831039.1
MF373841,NZ_LN831039.1
NC_020414,CP030026
NC_020416,CP030026
NC_025421,NZ_AP019750.1
MH825712,NZ_LT629770
MH825713,NZ_LN831039.1
MH825710,NZ_LN831039.1
MH825711,LC361338
MH651177,NZ_LN831039.1
MH651176,NZ_CABEIC010000001.1
MH651175,NZ_LN831039.1
MH651174,NZ_LN831039.1
MH651173,NZ_LN831039.1
MH651171,NZ_LN831039.1
MH651170,NZ_LN831039.1
MH651179,NZ_LN831039.1
MH651178,NZ_LN831039.1
NC_029120,NZ_NQCD01000010.1
MF919523,NZ_LN831039.1
NC_023612,NC_006510.1
MF919521,NZ_CABEIC010000001.1
MF919520,NZ_CABEIC010000001.1
MF919527,NZ_LN831039.1
MF919526,NZ_LN831039.1
MF919525,NZ_LN831039.1
MF919524,NZ_LN831039.1
MF919529,NZ_LN831039.1
MF919528,NZ_LN831039.1
MK305886,NZ_LN831039.1
MF133445,NZ_LN831039.1
MK392365,NZ_OCQN01000001
MH045558,CP019892
MH045559,CP019892
MH338241,NZ_LN831039.1
MH338240,NZ_LN831039.1
NC_038371,MH286069
MH727564,NZ_CM001889
MH727562,NZ_LN831039.1
MH727563,NZ_LN831039.1
MH727560,CP032788
MH045555,NZ_QTTZ01000001
NC_031224,LC361338
NC_022969,NZ_LN831039.1
NC_031229,NZ_CABEIC010000001.1
NC_031228,CP030026
NC_022965,NZ_LN831039.1
KX550082,NC_012490.1
NC_011289,NZ_LN831039.1
NC_011288,NZ_LN831039.1
KX817173,NZ_LN831039.1
KX817175,NZ_LN831039.1
KX817174,NZ_LN831039.1
NC_024391,NZ_CP023560
NC_024390,NZ_QMJJ01000010.1
NC_011285,NZ_LN831039.1
NC_011284,NZ_LN831039.1
NC_011287,NZ_LN831039.1
NC_011286,NZ_LN831039.1
NC_000896,NC_008530.1
MK305889,NZ_CABEIC010000001.1
KX683876,NZ_LN831039.1
KX683875,NZ_LN831039.1
NC_023549,NZ_CP033724.1
KY380102,NZ_LN831039.1
NC_030953,NZ_NQCD01000010.1
MK305887,NZ_LN831039.1
NC_008798,NZ_CP023560
NC_009990,NZ_JYNI01000003
MH669006,NZ_JNYC01000004
NC_009018,NZ_LR594046.1
KU761559,NZ_LN831039.1
MH576959,NZ_LN831039.1
MH576958,NZ_LN831039.1
MH576957,LC361338
MH576956,NZ_LN831039.1
MH576955,LC361338
MH576954,NZ_LN831039.1
MH576953,NZ_LN831039.1
MH576952,LC361338
MH576951,LC361338
MH576950,LC361338
MF189175,LC361338
MF189174,LC361338
MF189177,LC361338
MF189176,LC361338
MF189171,LC361338
MF189170,LC361338
MF189173,LC361338
MF189172,LC361338
NC_031041,NZ_LN831039.1
NC_031040,NZ_PKRZ01000001.1
NC_031043,NC_013961.1
NC_031042,AP014565
NC_031045,CP030026
MF189178,LC361338
KY204245,NZ_LN831039.1
NC_031046,NZ_CP023560
NC_018279,CP030026
NC_018278,NZ_MUTR01000001.1
NC_018275,CP030026
NC_018273,NZ_CP046062.1
NC_018270,NZ_VNGZ01000001.1
NC_028898,NC_021883.1
NC_028899,NZ_CP009764.1
NC_031277,NZ_LN831039.1
NC_001741,NC_017287.1
KJ959632,NZ_LN831039.1
KY204246,NZ_LN831039.1
NC_028897,NZ_LN831039.1
NC_010391,AP014565
NC_010392,AP014565
NC_010393,AP014565
NC_031048,NZ_MWMD01000001.1
NC_009551,NZ_MRCG01000001.1
NC_009554,NZ_AP019750.1
NC_028766,NC_021883.1
MF281061,NZ_LN831039.1
KM592966,NZ_LN831039.1
MF189179,NC_012490.1
KX580961,NZ_LN831039.1
MK376962,NZ_CABEIC010000001.1
MK376961,NZ_CABEIC010000001.1
MK376960,NZ_CABEIC010000001.1
NC_008207,NZ_LN831039.1
NC_008207,CP020809
NC_008206,NZ_LN831039.1
NC_008205,NZ_LN831039.1
NC_008205,CP020809
NC_008204,NZ_LN831039.1
NC_008204,CP020809
NC_008203,NZ_LN831039.1
NC_008203,CP020809
NC_008202,NZ_LN831039.1
NC_008201,NC_021883.1
NC_008200,NZ_LN831039.1
NC_008200,CP020809
NC_028942,NZ_LN831039.1
NC_009884,NZ_CP029289
NC_028941,NZ_LN831039.1
NC_028946,NZ_LN831039.1
NC_028947,NZ_LN831039.1
NC_028945,NZ_RPMX01000001.1
MK359359,NZ_LN831039.1
NC_009234,NC_007651.1
MK359358,NZ_LN831039.1
NC_031128,CP030026
NC_027399,NZ_UWXU01000001
KX557279,NZ_CABEIC010000001.1
KX648391,NZ_LN831039.1
MF140421,NZ_LN831039.1
KX557278,NZ_CABEIC010000001.1
NC_005893,NZ_AP012544.1
NC_022756,NC_022112.1
NC_030939,NZ_BAOP01000115.1
KU867906,NZ_LN831039.1
KU867907,NZ_LN831039.1
JN638753,NZ_LN831039.1
JN638752,NZ_LN831039.1
KP273225,NZ_LN831039.1
KY083060,NZ_LN831039.1
NC_019455,NC_011852.1
NC_019453,CP023315
KU160643,LC361338
KU160642,LC361338
KU160641,LC361338
KU160647,LC361338
KU160646,LC361338
KU160645,LC361338
KU160644,LC361338
KU160649,LC361338
KU160648,LC361338
MK359339,NZ_LN831039.1
MK359338,NZ_LN831039.1
NC_025452,NZ_CP023484
MK359331,NZ_LN831039.1
MK359330,NZ_LN831039.1
MK359333,NZ_LN831039.1
MK359332,NZ_CM001889
MK359335,NZ_LN831039.1
MK359334,NZ_LN831039.1
MK359337,NZ_LN831039.1
MK359336,NZ_LN831039.1
NC_025450,CP025034
NC_028990,NZ_KZ846072.1
NC_015263,NZ_PKRZ01000001.1
NC_015262,NZ_CP019870.1
MG099943,NZ_LN831039.1
MG099947,NZ_LN831039.1
MG099946,NZ_LN831039.1
MG099945,NZ_LN831039.1
MG099949,NZ_LN831039.1
MG099948,NZ_LN831039.1
MK524519,NZ_LN831039.1
MK524518,NZ_LN831039.1
NC_011270,NZ_LN831039.1
NC_011271,NZ_LN831039.1
NC_011272,NZ_LN831039.1
NC_011273,NZ_LN831039.1
MK524513,NZ_LN831039.1
MK524512,NZ_LN831039.1
MK524510,NZ_LT629770
MK524517,NZ_LN831039.1
NC_004927,NZ_AOLH01000002
MK524515,NZ_LN831039.1
MK524514,NZ_LN831039.1
MH077580,NZ_LN831039.1
MH077581,NZ_LN831039.1
MH077582,NZ_LN831039.1
MH077583,NZ_LN831039.1
MH077584,NZ_LN831039.1
MH077585,NZ_LN831039.1
KF017927,NZ_LN831039.1
KY798216,NZ_LN831039.1
NC_021558,NZ_CP015286.1
KP057620,NZ_LN831039.1
MG962368,NZ_CABEIC010000001.1
MG962369,NZ_CABEIC010000001.1
MG962366,NC_012490.1
MG962367,CP019892
MG962364,NZ_LN831039.1
MG962365,NZ_LN831039.1
MG962362,NZ_LN831039.1
MG962363,NZ_LN831039.1
MG962360,CP019892
MG962361,NZ_LN831039.1
MH825701,NZ_LN831039.1
MH825700,NZ_LT629770
KT959213,NC_012490.1
MH825702,NZ_LN831039.1
MH825705,NZ_LN831039.1
MH825704,NZ_LN831039.1
MH825707,NZ_LN831039.1
NC_025417,NZ_CP013922.1
NC_025416,NZ_CP023560
NC_025415,NZ_AP019750.1
KC661271,NZ_LN831039.1
KC661276,NZ_LN831039.1
NC_017732,NZ_KZ846072.1
MH045557,CP019892
KP027208,NZ_LN831039.1
KP027209,NZ_LN831039.1
MK112535,LC361338
KP027202,NZ_LN831039.1
KP027203,NZ_LN831039.1
KP027204,NZ_LN831039.1
JN116824,NZ_CP027793.1
KP027207,NZ_LN831039.1
NC_023604,NZ_LN831039.1
MF919517,NZ_LN831039.1
MF919514,NZ_CABEIC010000001.1
NC_023607,NZ_LN831039.1
NC_023600,NZ_LN831039.1
MF919513,NZ_LN831039.1
MF919510,NZ_CABEIC010000001.1
NC_023603,NZ_LN831039.1
JQ512844,NZ_LN831039.1
NC_007646,MH841968
NC_023609,NZ_LN831039.1
MF919518,NZ_LN831039.1
MF919519,NZ_LN831039.1
NC_008575,NZ_CP009764.1
MK308638,CP019892
MG210949,LC361338
NC_024388,NZ_CP046062.1
MF140429,LC361338
NC_031230,NZ_CABEIC010000001.1
NC_031231,LC361338
NC_031237,NZ_CABEIC010000001.1
NC_031234,NZ_CABEIC010000001.1
MF140420,LC361338
MH727544,NZ_LN831039.1
MF140422,NZ_LN831039.1
MF140423,LC361338
MF140424,LC361338
MF140425,LC361338
MF140426,LC361338
MK112539,NZ_LN831039.1
NC_003460,NZ_CP010341.1
NC_011292,NZ_LN831039.1
NC_011290,NZ_LN831039.1
NC_011291,NZ_LN831039.1
KY130461,NZ_LN831039.1
MG515223,NZ_GG657757
NC_027350,NZ_CP024819.1
NC_031126,NC_013961.1
NC_031127,NC_013961.1
NC_031124,NZ_LN831039.1
NC_031125,NZ_AP012544.1
NC_031122,NZ_CABEIC010000001.1
NC_031123,NZ_CP024819.1
NC_031120,NC_013961.1
NC_023554,NZ_LN831039.1
NC_023555,NZ_CP028813.1
NC_023556,NZ_CP025774.1
NC_023550,NZ_CP023560
KY471460,NZ_LN831039.1
NC_031129,CP030026
NC_012743,NZ_MUTR01000001.1
NC_018084,NC_008261.1
NC_018083,NC_008261.1
KT373978,NZ_LN831039.1
KX369585,NZ_LN831039.1
NC_008294,NZ_SAUP01000001
MH576962,NZ_CM001889
MH576963,CP019892
MH576960,NZ_CABEIC010000001.1
MH576961,LC361338
MH576966,NZ_LN831039.1
MH576967,NZ_LN831039.1
NC_023730,NZ_LN831039.1
MH576969,NZ_CABEIC010000001.1
NC_031052,NZ_CABEIC010000001.1
NC_031053,NZ_UWXU01000001
NC_031051,NZ_KZ846072.1
KR816508,NZ_LN831039.1
KT326768,NZ_LN831039.1
MG757153,NZ_GG657757
MG757152,NZ_CABEIC010000001.1
MG757157,NZ_CABEIC010000001.1
MG757156,NZ_LN831039.1
MG757154,NZ_CM001889
MG757159,NZ_LN831039.1
MG757158,NZ_LN831039.1
NC_005263,NZ_MUTR01000001.1
NC_011811,NC_013961.1
NC_029121,NZ_CP011007.1
NC_009526,NZ_CP023560
NC_008694,NC_017168.1
NC_012663,NZ_PKRZ01000001.1
MK376953,NZ_CABEIC010000001.1
MK376956,NZ_CABEIC010000001.1
KR935214,NZ_LN831039.1
MK376954,NZ_CABEIC010000001.1
MK376955,NZ_LN831039.1
MK376959,NZ_CABEIC010000001.1
NC_028683,NZ_CP028813.1
NC_028979,NZ_LN831039.1
NC_028978,NZ_LN831039.1
NC_028977,NZ_UWXU01000001
NC_028972,RXKE01000007
NC_027925,KY464958
KC576784,NZ_LN831039.1
MF185717,NZ_LN831039.1
NC_005880,NZ_CP023560
MF185719,NZ_LN831039.1
MF185718,LC361338
NC_005885,NZ_LT629758
NC_011614,NZ_CP023560
NC_011612,NZ_CP023560
NC_004689,NZ_LN831039.1
NC_004689,CP020809
NC_004688,NZ_LN831039.1
NC_004688,CP020809
NC_004687,NZ_LN831039.1
NC_004687,CP020809
NC_004686,NZ_LN831039.1
NC_004685,NZ_LN831039.1
NC_004685,CP020809
NC_004684,NZ_LN831039.1
NC_004684,CP020809
NC_004683,NZ_LN831039.1
NC_004683,CP020809
NC_004682,NZ_LN831039.1
NC_004681,NZ_LN831039.1
NC_004681,CP020809
NC_004680,NZ_LN831039.1
NC_004680,CP020809
KU160674,LC361338
KU160672,LC361338
KU160673,LC361338
KU160670,LC361338
KU160671,LC361338
NC_025471,NZ_MSEI01000003
MK359348,NZ_LN831039.1
MK359349,NZ_LN831039.1
MK279850,NZ_LN831039.1
MK359344,NZ_LN831039.1
MH590606,CP019892
MH590605,NZ_LN831039.1
KX580962,NZ_LN831039.1
MH590603,NZ_CABEIC010000001.1
MK359341,NZ_LN831039.1
MK359342,NZ_LN831039.1
MH590600,CP019892
MH271320,NZ_LT629770
MH271321,CP019892
KU252585,NZ_CABEIC010000001.1
NC_011104,NC_013198.1
NC_016770,NC_003228.3
MK468591,NZ_LN831039.1
MK524528,NZ_LN831039.1
MK524529,NZ_LN831039.1
NC_015296,CP030026
NC_015297,NZ_CP009764.1
MK524524,NZ_CM001889
MK524525,NZ_LN831039.1
MK524522,NZ_LN831039.1
MK524523,NZ_LN831039.1
MK524520,NZ_LN831039.1
NC_011046,NZ_PKRZ01000001.1
NC_024711,SDYW01000001
NC_011044,NZ_LN831039.1
NC_011043,NZ_JH603143.1
MG962371,NZ_LN831039.1
MG962370,NZ_LN831039.1
MG962373,NZ_LN831039.1
MG962372,NZ_LN831039.1
MG962375,NZ_LN831039.1
MG962374,NZ_LN831039.1
MK359299,NZ_LN831039.1
NC_008208,NZ_CP021654.1
NC_021300,NZ_CP023558.1
NC_021561,NZ_LK391965
KM401838,NZ_LN831039.1
NC_009014,NC_013961.1
MF919509,NZ_LN831039.1
MF919508,NZ_LN831039.1
NC_029094,NZ_CP023558.1
NC_015586,NC_011071.1
NC_029092,NZ_CP012023.1
NC_015584,NZ_LN831039.1
MF919501,NZ_LN831039.1
MF919500,NZ_LN831039.1
MF919503,NZ_LN831039.1
MF919502,NZ_LN831039.1
MF919504,NZ_LN831039.1
NC_029099,NZ_UWXU01000001
MF919506,NZ_LN831039.1
KX756439,NZ_LN831039.1
MK524490,NZ_LN831039.1
KX683293,NZ_LN831039.1
KX683292,NZ_LN831039.1
NC_023499,NZ_CP023560
NC_023498,NZ_LN831039.1
MF140433,LC361338
MF140432,LC361338
MF140431,LC361338
